TYPE,URL,IP
Blackhole,146.185.236.33/bhadmin.php,
Blackhole,146.185.236.34/bhadmin.php,
Blackhole,146.185.236.35/bhadmin.php,
Blackhole,146.185.236.36/bhadmin.php,
Blackhole,146.185.236.37/bhadmin.php,
Blackhole,146.185.236.38/bhadmin.php,
Blackhole,146.185.236.39/bhadmin.php,
Blackhole,146.185.236.40/bhadmin.php,
Blackhole,146.185.236.41/bhadmin.php,
Blackhole,146.185.236.42/bhadmin.php,
Blackhole,146.185.236.43/bhadmin.php,
Blackhole,146.185.236.44/bhadmin.php,
Blackhole,146.185.236.45/bhadmin.php,
Blackhole,146.185.236.46/bhadmin.php,
Blackhole,146.185.236.47/bhadmin.php,
Blackhole,146.185.236.48/bhadmin.php,
Blackhole,146.185.236.49/bhadmin.php,
Blackhole,146.185.236.50/bhadmin.php,
Blackhole,146.185.236.51/bhadmin.php,
Blackhole,146.185.236.52/bhadmin.php,
Blackhole,146.185.236.53/bhadmin.php,
Blackhole,146.185.236.54/bhadmin.php,
Blackhole,146.185.236.55/bhadmin.php,
Blackhole,146.185.236.56/bhadmin.php,
Blackhole,146.185.236.57/bhadmin.php,
Blackhole,146.185.236.58/bhadmin.php,
Blackhole,146.185.236.59/bhadmin.php,
Blackhole,146.185.236.60/bhadmin.php,
Blackhole,146.185.236.61/bhadmin.php,
Blackhole,146.185.236.62/bhadmin.php,
Blackhole,146.185.236.63/bhadmin.php,
Blackhole,146.185.236.64/bhadmin.php,
Blackhole,146.185.236.65/bhadmin.php,
Blackhole,146.185.236.66/bhadmin.php,
Blackhole,146.185.236.67/bhadmin.php,
Blackhole,146.185.236.68/bhadmin.php,
Blackhole,146.185.236.69/bhadmin.php,
Blackhole,146.185.236.70/bhadmin.php,
